2026-09-23 21:53:55,360 | INFO | app.main | Loading model...
2026-09-23 21:53:56,698 | INFO | src.predict | تم تحميل الموديل من models/model.pkl
2026-09-23 21:53:56,700 | INFO | src.features | تم تحميل state_encoder من models/state_encoder.pkl
2026-09-23 21:53:56,700 | INFO | app.main | Model loaded (version 1.0.0)
2026-09-23 22:53:09,379 | INFO | src.features | الفيتشرز جاهزة بشكل: (1, 36)
2026-09-23 22:53:09,382 | INFO | src.predict | توقع جديد: is_late=0, probability=0.2576, model_version=1.0.0
2026-09-23 21:45:59,419 | INFO | app.main | Loading model...
2026-09-23 21:46:00,276 | INFO | src.predict | تم تحميل الموديل من models/model.pkl
2026-09-23 21:46:00,278 | INFO | src.features | تم تحميل state_encoder من models/state_encoder.pkl
2026-09-23 21:46:00,279 | INFO | app.main | Model loaded (version 1.0.0)
2026-09-23 21:55:19,437 | INFO | src.features | الفيتشرز جاهزة بشكل: (1, 36)
2026-09-23 21:55:19,454 | INFO | src.predict | توقع جديد: is_late=0, probability=0.2576, model_version=1.0.0
